region_id,prefix_hit,prefix_hit_count,baseline_extra_hit,baseline_extra_hit_count,bsdcov_extra_hit,bsdcov_extra_hit_count,status
R_stall_mem_000,1,57730,1,643,1,1175,already_hit_by_prefix
R_stall_mem_001,1,19697,1,40,1,1378,already_hit_by_prefix
R_stall_mem_002,1,22433,1,497,0,0,already_hit_by_prefix
R_stall_ld_hz_001,1,781,0,0,1,1405,already_hit_by_prefix
R_stall_ld_hz_000,1,809,0,0,1,275,already_hit_by_prefix
R_rf_rd_wb_hz_001,0,0,0,0,0,0,missed_by_all
R_rf_rd_wb_hz_000,0,0,0,0,0,0,missed_by_all
R_rf_rd_wb_hz_002,0,0,0,0,0,0,missed_by_all
R_stall_jump_001,0,0,0,0,0,0,missed_by_all
R_rf_rd_wb_hz_007,0,0,0,0,0,0,missed_by_all
R_stall_multdiv_001,0,0,0,0,0,0,missed_by_all
R_stall_jump_000,0,0,0,0,0,0,missed_by_all
R_rf_rd_wb_hz_005,1,407,0,0,0,0,already_hit_by_prefix
R_stall_multdiv_005,0,0,0,0,0,0,missed_by_all
R_stall_jump_002,0,0,0,0,0,0,missed_by_all
R_rf_rd_wb_hz_004,0,0,0,0,0,0,missed_by_all
R_rf_rd_wb_hz_003,0,0,1,10,0,0,new_by_baseline_extra
R_stall_branch_001,0,0,0,0,0,0,missed_by_all
R_rf_rd_wb_hz_006,0,0,0,0,0,0,missed_by_all
R_rf_rd_wb_hz_011,0,0,0,0,0,0,missed_by_all
R_stall_multdiv_002,0,0,0,0,0,0,missed_by_all
R_stall_multdiv_003,0,0,0,0,0,0,missed_by_all
R_stall_multdiv_000,0,0,0,0,0,0,missed_by_all
R_stall_branch_000,0,0,0,0,0,0,missed_by_all
R_rf_rd_wb_hz_009,0,0,0,0,0,0,missed_by_all
R_rf_rd_wb_hz_010,0,0,0,0,0,0,missed_by_all
R_rf_rd_wb_hz_008,0,0,0,0,0,0,missed_by_all
R_stall_multdiv_006,0,0,0,0,0,0,missed_by_all
R_stall_multdiv_004,0,0,0,0,0,0,missed_by_all
R_stall_jump_003,1,465,1,221,1,222,already_hit_by_prefix
R_stall_multdiv_007,0,0,0,0,0,0,missed_by_all
R_stall_branch_002,0,0,0,0,0,0,missed_by_all
R_stall_multdiv_008,1,114,0,0,0,0,already_hit_by_prefix
R_stall_multdiv_009,0,0,0,0,0,0,missed_by_all
