metric,prefix_10k,baseline_only_12k,baseline_plus_bsdcov_12k,baseline_extra_gain,bsdcov_extra_gain,bsdcov_advantage
block,78.78,78.98,78.85,0.20000000000000284,0.06999999999999318,-0.13000000000000966
branch,60.57,60.91,60.71,0.3399999999999963,0.14000000000000057,-0.19999999999999574
statement,80.37,80.5,80.44,0.12999999999999545,0.06999999999999318,-0.060000000000002274
expression,68.08,68.36,68.11,0.28000000000000114,0.030000000000001137,-0.25
toggle,67.98,69.16,68.36,1.1799999999999926,0.37999999999999545,-0.7999999999999972
statement_dup,80.37,80.5,80.44,0.12999999999999545,0.06999999999999318,-0.060000000000002274
fsm,60.87,60.87,60.87,0.0,0.0,0.0
assertion,94.62,94.62,94.62,0.0,0.0,0.0
covergroup,7.41,8.19,7.51,0.7799999999999994,0.09999999999999964,-0.6799999999999997
